case topic,Case Number,Case Open Date,Opened Date_Day of Week
Custom Report,1,2023-04-27T23:19:55,Thursday
Users Management,1,2023-04-27T23:24:39,Thursday
Users Management,1,2023-04-27T23:50:12,Thursday
Launching Application,1,2023-04-28T00:05:32,Friday
Error Message,1,2023-04-28T00:13:46,Friday
Error Message,1,2023-04-28T00:19:04,Friday
Single Sign-On,1,2023-04-28T00:40:28,Friday
Users Management,1,2023-04-28T01:00:24,Friday
Users Management,1,2023-04-28T01:23:19,Friday
Circuit Down,1,2023-04-28T01:27:09,Friday
Dialing Behavior,1,2023-04-28T01:35:22,Friday
Contacts,1,2023-04-28T01:37:09,Friday
Contacts,1,2023-04-28T01:44:06,Friday
Contacts,1,2023-04-28T01:49:00,Friday
List Sync Plus,1,2023-04-28T02:30:03,Friday
Calls Failing,1,2023-04-28T02:38:09,Friday
General Error,1,2023-04-28T02:52:27,Friday
MACD,1,2023-04-28T02:53:37,Friday
Application Lag,1,2023-04-28T03:17:19,Friday
Custom Report,1,2023-04-28T03:17:39,Friday
Audio Issues on Echo,1,2023-04-28T03:23:05,Friday
DNIS,1,2023-04-28T04:03:19,Friday
Custom Report,1,2023-04-28T04:21:13,Friday
IVR,1,2023-04-28T04:21:46,Friday
Users Management,1,2023-04-28T04:30:53,Friday
Unable to Login,1,2023-04-28T04:37:06,Friday
ANI,1,2023-04-28T04:39:46,Friday
Softphone,1,2023-04-28T04:54:37,Friday
Audio Issues,1,2023-04-28T04:56:11,Friday
Reporting,1,2023-04-28T05:05:33,Friday
Reporting,1,2023-04-28T05:11:30,Friday
Error Message,1,2023-04-28T05:15:53,Friday
